Team Name,Github Repository,Tracks,Opt-In Prizes,Category
Team uckn,https://github.com/nobel-sh/port_scanner,"OSM, Open Innovation, and AR/VR","Best Use of Soroban, Best Use of Hedera, Most Creative Use of Redis Cloud, Best Domain Name from GoDaddy Registry",Out-Of-The-Box
Team idgcyogyw,https://github.com/ItsAash/GuitarTunes,"AR/VR, Cloud Computing, OSM, and Open Innovation","Best Use of Hedera, Most Creative Use of Redis Cloud, Best Use of Streamlit, Best Domain Name from GoDaddy Registry, Best Use of Soroban",Tourism
Team gsevncl,https://github.com/abhiyandhakal/team404-ku-pasal,"IOT, ML/AI, Cloud Computing, AR/VR, and OSM","Most Creative Use of Redis Cloud, Best Use of Auth0, Best Use of Streamlit",Sustainable Development & Infrastructure
Team jynto,https://github.com/rishadbaniya/BhojanWithRojan,"Cloud Computing, and OSM","Best Use of Auth0, Best Use of Hedera, Most Creative Use of Redis Cloud, Best Use of Soroban, Best Domain Name from GoDaddy Registry, Best Use of Streamlit",Tourism
Team qkjc,https://github.com/rishadbaniya/BhojanWithRojan,"Cloud Computing, IOT, OSM, and Open Innovation","Best Use of Streamlit, Best Domain Name from GoDaddy Registry",Health and Informatics
Team vnliypl,https://github.com/rishadbaniya/OneDegreeEquationStandardizer,"IOT, and Open Innovation","Best Use of Soroban, Best Domain Name from GoDaddy Registry, Best Use of Hedera, Most Creative Use of Redis Cloud, Best Use of Streamlit, Best Use of Auth0",Out-Of-The-Box
Team ixquctj,https://github.com/rishadbaniya/OneDegreeEquationStandardizer,"Cloud Computing, AR/VR, Open Innovation, ML/AI, OSM, and IOT","Best Use of Soroban, Best Use of Auth0, Best Use of Streamlit, Most Creative Use of Redis Cloud, Best Domain Name from GoDaddy Registry, Best Use of Hedera",Education
Team ostmyqjr,https://github.com/rishadbaniya/BhojanWithRojan,"OSM, and ML/AI","Best Use of Auth0, Best Use of Streamlit, Most Creative Use of Redis Cloud, Best Domain Name from GoDaddy Registry",Education
Team vwtv,https://github.com/rishadbaniya/hackfest_script,"Open Innovation","Best Use of Auth0, Best Use of Hedera",Tourism
Team rxylwpyvhz,https://github.com/ItsAash/GuitarTunes,"ML/AI, IOT, Open Innovation, and Cloud Computing","Best Domain Name from GoDaddy Registry",E-governance
