Team Name,Project Tracks,Submission URL
nightOwls,Track (AR and VR),https://devfolio.co/submissions/sushikshya-f18b
GoGITters,"Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/iota-74f4
end my missouri hackers,Track (Open Innovation),https://devfolio.co/submissions/smart-small-parts-organizer-2983
Hologram,"Track (AR and VR),Track (Cloud),Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/eille-for-indoor-navigation-and-antidepression-ce4a
Idea's my appetite,"Track (Blockchain),Track (IOT)",https://devfolio.co/submissions/decentralized-power-distribution-system-a8e6
BinaryCoders,"Track (Cloud),Track (IOT),Track (Open Innovation)",https://devfolio.co/submissions/greenhouse-climate-controller-system-e111
YSC,"Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/goodleaf-3c5b
HashMine,"Track (AR and VR),Track (Blockchain),Track (Data Science and AI)",https://devfolio.co/submissions/hashpayar-67b4
Wolverines,"Track (AR and VR),Track (Open Innovation)",https://devfolio.co/submissions/lockedout-a31f
Dijon,"Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/helmetdetection-db45
fill-form,"Track (Blockchain),Track (Open Innovation)",https://devfolio.co/submissions/greencredus-eb8e
Into-vision,Track (Open Innovation),https://devfolio.co/submissions/text-translation-glasses-502f
Excess-3,Track (Blockchain),https://devfolio.co/submissions/decentralised-donations-app-f718
Explorers,"Track (Cloud),Track (Open Innovation)",https://devfolio.co/submissions/bloodwithus-6268
MARSians,Track (Open Innovation),https://devfolio.co/submissions/ar-and-pspice-based-circuit-simulator-011d
KEDS,"Track (Blockchain),Track (Cloud),Track (Open Innovation)",https://devfolio.co/submissions/rideshare-e2da
Virtual Radiologist,"Track (Cloud),Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/virtual-radiologist-637b
Visionary,Track (Data Science and AI),https://devfolio.co/submissions/espial-7dc0
Alpha Centauri,"Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/the-third-eye-0d0c
Gladiators,Track (Open Innovation),https://devfolio.co/submissions/faminefighter-1394
PitamUnga,"Track (Cloud),Track (Data Science and AI),Track (IOT)",https://devfolio.co/submissions/deleeper-bc91
Vinidra,"Track (Data Science and AI),Track (Open Innovation)",https://devfolio.co/submissions/vinidra-diagnosis-a8e0
Ai hack,"Track (Data Science and AI),Track (Open Innovation",https://devfolio.co/submissions/farmer-auction-bbf7
AlgoNuts,Track (Open Innovation),https://devfolio.co/submissions/matricare-5d7a
